Food,Food_image,Calories,Protein,Fat,Carb,Description
apple_pie,https://www.foodiesfeed.com/wp-content/uploads/2015/03/homemade-upside-down-apple-pie.jpg,182.31540777865288,1.7008316064690847,7.688819250939348,27.496118486009852,all-purpose flour; cane sugar; salt; butter; cream cheese; water; apple; sugar; flour; cinnamon; nutmeg
baby_back_ribs,https://www.foodiesfeed.com/wp-content/uploads/2017/07/wooden-plate-with-lamb-ribs.jpg,207.69736382521663,14.036357423203714,12.994462379598177,8.918235185436696,baby back ribs; kosher salt; dark brown sugar; paprika; garlic powder; onion powder; cumin; black pepper; cayenne pepper; red wine vinegar; yellow onion; garlic; pepper sauce; ketchup; lemon zest; lemon juice
baklava,https://www.foodiesfeed.com/wp-content/uploads/2023/04/turkish-deli-baklava-with-pistachio.jpg,408.97905941404923,5.6248770583535865,26.367389982762365,41.2265786830472,phyllo dough; walnuts; butter; ground cinnamon; water; white sugar; vanilla extract; honey
beef_carpaccio,https://www.foodiesfeed.com/wp-content/uploads/2016/03/bresaola-carpaccio-with-rocket-leaf.jpg,262.51010780632777,12.810688512546024,21.735103188526907,4.219341034139688,Parmesan; rocket; red onion; chives; olive oil; Dijon mustard; beef fillet; salt; black pepper
beef_tartare,https://www.foodiesfeed.com/wp-content/uploads/2022/07/steak-tartare-and-beef-sashimi.jpg,232.87081492393372,12.190422528543149,17.87208957817408,5.987455457789083,shallots; capers; Dijon mustard; extra virgin olive oil; Worcestershire sauce; egg yolks; filets mignon; salt; ground pepper
beet_salad,https://www.foodiesfeed.com/wp-content/uploads/2017/10/root-for-the-beets.jpg,109.97805507873368,2.3889985486252625,7.289619218601368,9.813371760810888,beets; olive oil; red onion; balsamic vinegar; red wine vinegar; sugar; salt; basil; ground pepper
bibimbap,https://www.foodiesfeed.com/wp-content/uploads/2015/05/korean-bibimbap-in-yamyam-berlin.jpg,153.69646903593534,6.235301414729078,7.15488878627397,16.30989930737623,beef; soy sauce; sesame oil; sugar; garlic; shiitake mushroom; carrots; fine sea salt; steamed rice; eggs; Cooking oil; spinach; bean sprouts; seaweed; gochujang; water; sesame seeds; vinegar
bread_pudding,https://www.foodiesfeed.com/wp-content/uploads/2017/09/chia-pudding.jpg,212.25179703589257,5.035652524447934,8.425020514924565,29.414995997512975,white bread; raisins; milk; butter; sugar; eggs; vanilla extract; ground nutmeg
breakfast_burrito,https://www.foodiesfeed.com/wp-content/uploads/2015/10/vancouver-breakfast-burrito-2.jpg,181.62857454556416,8.587727338041022,10.18694683424937,14.279380674765873,refried beans; Jack cheese; Roma tomatoes; flour tortillas; Bouillon; eggs; Yukon gold; extra virgin olive oil
bruschetta,https://www.foodiesfeed.com/wp-content/uploads/2018/03/salmon-and-blood-orange-bruschettas.jpg,154.29891013900715,4.90984900628915,7.355360164778432,17.767963108218968,tomatoes; basil; shallot; extra virgin olive oil; balsamic vinegar; bread
caesar_salad,https://www.foodiesfeed.com/wp-content/uploads/2023/09/caesar-salad-with-chicken.jpg,190.9520879786355,5.756036147676299,15.419372394789463,8.180033100374898,romaine lettuce; extra virgin olive oil; red wine vinegar; Worcestershire sauce; salt; ground mustard; garlic; egg; lemon; black pepper; Parmesan cheese; garlic croutons; anchovy
cannoli,https://www.foodiesfeed.com/wp-content/uploads/2019/09/homemade-cannoli-without-wine.jpg,341.7556085591544,6.399505378402485,21.137341307139987,31.321046325552178,flour; caster sugar; salt; ground cinnamon; ground nutmeg; margarine; egg white; red wine; oil; ricotta cheese; icing sugar; vanilla extract; chocolate chips; mixed peel
caprese_salad,https://www.foodiesfeed.com/wp-content/uploads/2016/06/salad-in-a-salad-bar-scaled.jpg,150.8644764487834,7.532307687822089,11.411026492674509,4.984838017511809,Tomatoes; Mozzarella; Fresh Basil; Extra Virgin Olive Oil; Balsamic Vinegar; Salt; Pepper
carrot_cake,https://www.foodiesfeed.com/wp-content/uploads/2024/01/carrot-raisin-salad.jpg,340.51504453399724,3.9840983650362514,18.981487503434323,40.39582450866017,butter; whole-wheat flour; baking soda; vanilla; powdered sugar; baking powder; carrots; dry milk; cinnamon; brown sugar; salt; ground cloves; all-purpose flour; ground nutmeg; oil; cream cheese; sugar; pineapple; walnuts; eggs
cheesecake,https://www.foodiesfeed.com/wp-content/uploads/2017/07/eating-cheesecake-with-berries.jpg,321.0,5.5,22.5,25.5,
cheese_plate,https://www.foodiesfeed.com/wp-content/uploads/2016/03/tasting-cheese-in-a-cheese-factory-1.jpg,403.0,22.9,33.3,3.37,
chicken_curry,https://www.foodiesfeed.com/wp-content/uploads/2023/05/thai-red-curry-chicken.jpg,136.50558833438518,9.669296281080303,7.923633029970212,6.827135165887985,chicken breasts; olive oil; curry powder; garlic; yellow onion; chicken stock; canned coconut milk; tomato paste; cayenne pepper; salt; pepper
chicken_quesadilla,https://www.foodiesfeed.com/wp-content/uploads/2016/12/grilling-chicken-satay.jpg,294.0,15.0,15.2,24.0,
chicken_wings,https://www.foodiesfeed.com/wp-content/uploads/2023/08/crispy-spicy-chicken-wings.jpg,220.08745969369446,12.597500640837222,15.788192633900913,7.121291135684437,chicken wings; garlic; soy sauce; honey; white vinegar; hot sauce; vegetable oil; salt; pepper; water
chocolate_cake,https://www.foodiesfeed.com/wp-content/uploads/2018/01/sparkling-chocolate-cupcakes.jpg,332.0130917735786,4.43556026265575,16.85072720994229,43.69749424958587,white sugar; all-purpose flour; unsweetened cocoa powder; baking soda; baking powder; salt; eggs; milk; vegetable oil; vanilla extract; water; butter; confectioners' sugar
chocolate_mousse,https://www.foodiesfeed.com/wp-content/uploads/2023/08/chocolate-mousse-with-mint.jpg,225.0,4.14,16.0,16.1,
churros,https://www.foodiesfeed.com/wp-content/uploads/2022/03/fried-spanish-churros.jpg,336.44900758361297,3.5745932582942377,24.269422786905135,26.944007791231297,Vegetable oil; water; unsalted butter; granulated sugar; salt; vanilla extract; all purpose flour; egg; ground cinnamon
clam_chowder,https://www.foodiesfeed.com/wp-content/uploads/2017/08/almejas-en-salsa.jpg,113.7384492241636,6.9007263427900005,5.875423029138685,8.165649871133267,Red potatoes; bacon; whole milk; butter; yellow onion; celery; Kosher Salt; thyme; all purpose flour; chicken broth; canned clams
club_sandwich,https://www.foodiesfeed.com/wp-content/uploads/2015/05/argentinian-beef-steak-sandwich.jpg,196.28815318166932,9.540004993746178,12.017118055544463,12.624872008129454,white bread; butter; salt; pepper; chicken breast; bacon; dijon mustard; tomatoes; lettuce
crab_cakes,https://www.foodiesfeed.com/wp-content/uploads/2019/01/orange-cheese-pancakes.jpg,184.44967221869132,11.303611619168837,11.676375299290866,8.305466450209314,salad dressing; egg; soft bread crumbs; ground mustard; salt; red pepper; pepper; green onions; crabmeat; bread crumbs; vegetable oil
creme_brulee,https://www.foodiesfeed.com/wp-content/uploads/2023/08/crunchy-creme-brulee.jpg,293.2171000446224,3.2495739772731502,24.233046832095614,16.606181045160845,egg yolks; half and half; heavy cream; granulated sugar; vanilla bean; Brown sugar
cup_cakes,https://www.foodiesfeed.com/wp-content/uploads/2017/07/oreo-chocolate-cupcakes-with-chocolate-ganache.jpg,333.1453119504922,4.8956457391810595,13.655808768821498,48.54553357306457,unsalted butter; caster sugar; eggs; flour; low fat milk; carob; icing sugar; citric acid
deviled_eggs,https://www.foodiesfeed.com/wp-content/uploads/2018/08/high-protein-brunch-with-poached-eggs-beans-and-bacon.jpg,197.15306110554653,9.528332358440906,16.250969951601142,2.675153417340552,hard-cooked eggs; mayo; mustard; sweet pickle relish
donuts,https://www.foodiesfeed.com/wp-content/uploads/2017/12/baked-pumpkin-donuts.jpg,421.0,6.14,22.7,47.9,
dumplings,https://www.foodiesfeed.com/wp-content/uploads/2015/05/czech-roasted-duck-with-sauerkraut-and-dumplings.jpg,219.7059082044201,7.816646426860758,6.857268192922064,31.190323681861937,flour; baking powder; salt; Crisco; parsley; milk
eggs_benedict,https://www.foodiesfeed.com/wp-content/uploads/2018/08/high-protein-brunch-with-poached-eggs-beans-and-bacon.jpg,226.8370017574993,8.757990209376016,16.926816448529692,10.3164213154785,egg yolks; butter; lemons; cayenne pepper; salt; eggs; white vinegar; english muffins; ham; parsley
falafel,https://www.foodiesfeed.com/wp-content/uploads/2015/04/maoz-falafel.jpg,333.0,13.3,17.8,31.8,
filet_mignon,https://www.foodiesfeed.com/wp-content/uploads/2023/04/filet-mignon-with-greens.jpg,331.0,23.9,25.4,0.0,
fish_and_chips,https://www.foodiesfeed.com/wp-content/uploads/2015/05/potato-and-beetroot-chips.jpg,130.23340629404157,9.827643607493716,6.969049188255918,6.946413139264216,snapper; salt; pepper; paprika; cayenne; garlic powder; cumin; canola oil; sour cream; mayonnaise; cilantro; lime; cabbage; green onions; garlic; white vinegar; kosher salt; white sugar
